#doom_name,source,albedo,normal,roughness,metallic,ao,emissive,height,uv_scale,flags
# v1 = walls + flats only. Hero rows point at curated CC0 maps (Poly Haven, palette-locked
# to the original DOOM texture colour via scripts/stage_hero.py --tint-wad). Derive rows are
# auto-generated from the WAD by scripts/pbr_derive.py (assets/ultra/derived/, gitignored).
# flags is |-separated (pom|noPom|sprite). Provenance for every hero PNG is in LICENSES.
STARTAN3,hero,heroes/tech/STARTAN3_alb.png,heroes/tech/STARTAN3_nrm.png,,,heroes/tech/STARTAN3_ao.png,,heroes/tech/STARTAN3_hgt.png,1.0,pom
STARG3,hero,heroes/tech/STARG3_alb.png,heroes/tech/STARG3_nrm.png,,,heroes/tech/STARG3_ao.png,,heroes/tech/STARG3_hgt.png,1.0,pom
STARGR1,hero,heroes/tech/STARGR1_alb.png,heroes/tech/STARGR1_nrm.png,,,heroes/tech/STARGR1_ao.png,,heroes/tech/STARGR1_hgt.png,1.0,pom
SUPPORT2,hero,heroes/tech/SUPPORT2_alb.png,heroes/tech/SUPPORT2_nrm.png,,,heroes/tech/SUPPORT2_ao.png,,heroes/tech/SUPPORT2_hgt.png,1.0,pom
BROWN1,hero,heroes/brownmetal/BROWN1_alb.png,heroes/brownmetal/BROWN1_nrm.png,,,heroes/brownmetal/BROWN1_ao.png,,heroes/brownmetal/BROWN1_hgt.png,1.0,pom
BROWNGRN,hero,heroes/brownmetal/BROWNGRN_alb.png,heroes/brownmetal/BROWNGRN_nrm.png,,,heroes/brownmetal/BROWNGRN_ao.png,,heroes/brownmetal/BROWNGRN_hgt.png,1.0,pom
BROWN144,hero,heroes/brownmetal/BROWN144_alb.png,heroes/brownmetal/BROWN144_nrm.png,,,heroes/brownmetal/BROWN144_ao.png,,heroes/brownmetal/BROWN144_hgt.png,1.0,pom
FLOOR4_8,hero,heroes/floor/FLOOR4_8_alb.png,heroes/floor/FLOOR4_8_nrm.png,,,heroes/floor/FLOOR4_8_ao.png,,heroes/floor/FLOOR4_8_hgt.png,1.0,noPom
FLOOR5_1,hero,heroes/floor/FLOOR5_1_alb.png,heroes/floor/FLOOR5_1_nrm.png,,,heroes/floor/FLOOR5_1_ao.png,,heroes/floor/FLOOR5_1_hgt.png,1.0,noPom
FLOOR5_2,hero,heroes/floor/FLOOR5_2_alb.png,heroes/floor/FLOOR5_2_nrm.png,,,heroes/floor/FLOOR5_2_ao.png,,heroes/floor/FLOOR5_2_hgt.png,1.0,noPom
TEKWALL1,derive,,,,,,,,1.0,pom
# --- DOOM-0042 T17 coverage batch 2 (E1M1 paletted-surface heroes) ---
STARTAN1,hero,heroes/tech/STARTAN1_alb.png,heroes/tech/STARTAN1_nrm.png,,,heroes/tech/STARTAN1_ao.png,,heroes/tech/STARTAN1_hgt.png,1.0,pom
BROWN96,hero,heroes/brownmetal/BROWN96_alb.png,heroes/brownmetal/BROWN96_nrm.png,,,heroes/brownmetal/BROWN96_ao.png,,heroes/brownmetal/BROWN96_hgt.png,1.0,pom
STEP6,hero,heroes/metal/STEP6_alb.png,heroes/metal/STEP6_nrm.png,,,heroes/metal/STEP6_ao.png,,heroes/metal/STEP6_hgt.png,1.0,noPom
CEIL3_5,hero,heroes/ceil/CEIL3_5_alb.png,heroes/ceil/CEIL3_5_nrm.png,,,heroes/ceil/CEIL3_5_ao.png,,heroes/ceil/CEIL3_5_hgt.png,1.0,noPom
FLOOR7_2,hero,heroes/floor/FLOOR7_2_alb.png,heroes/floor/FLOOR7_2_nrm.png,,,heroes/floor/FLOOR7_2_ao.png,,heroes/floor/FLOOR7_2_hgt.png,1.0,noPom
FLOOR7_1,hero,heroes/floor/FLOOR7_1_alb.png,heroes/floor/FLOOR7_1_nrm.png,,,heroes/floor/FLOOR7_1_ao.png,,heroes/floor/FLOOR7_1_hgt.png,1.0,noPom
FLAT20,hero,heroes/floor/FLAT20_alb.png,heroes/floor/FLAT20_nrm.png,,,heroes/floor/FLAT20_ao.png,,heroes/floor/FLAT20_hgt.png,1.0,noPom
